frame,dense_gflops,reti_gflops,energy_savings_pct,sensing_latency_ms
000186.png,45.2,45.25,-0.11061946902655162,20.746124908328056
000187.png,45.2,45.25,-0.11061946902655162,19.82562500052154
000188.png,45.2,45.25,-0.11061946902655162,21.305875037796795
000189.png,45.2,45.25,-0.11061946902655162,20.466582966037095
000190.png,45.2,45.25,-0.11061946902655162,21.21199993416667
000191.png,45.2,45.25,-0.11061946902655162,21.24820789322257
000192.png,45.2,45.25,-0.11061946902655162,21.738374955020845
000193.png,45.2,45.25,-0.11061946902655162,21.42325008753687
000194.png,45.2,45.25,-0.11061946902655162,21.590415970422328
000195.png,45.2,45.25,-0.11061946902655162,19.984708982519805
000196.png,45.2,45.25,-0.11061946902655162,21.573958918452263
000197.png,45.2,45.25,-0.11061946902655162,21.167790982872248
000198.png,45.2,45.25,-0.11061946902655162,21.360957995057106
000199.png,45.2,45.25,-0.11061946902655162,20.61845804564655
000200.png,45.2,45.25,-0.11061946902655162,21.339999977499247
000201.png,45.2,45.25,-0.11061946902655162,19.634000025689602
000202.png,45.2,45.25,-0.11061946902655162,21.54175005853176
000203.png,45.2,45.25,-0.11061946902655162,21.114209084771574
000204.png,45.2,45.25,-0.11061946902655162,21.204540971666574
000205.png,45.2,45.25,-0.11061946902655162,20.841874997131526
000206.png,45.2,45.25,-0.11061946902655162,21.48275007493794
000207.png,45.2,45.25,-0.11061946902655162,20.06170805543661
000208.png,45.2,45.25,-0.11061946902655162,22.11687504313886
000209.png,45.2,45.25,-0.11061946902655162,20.37187502719462
000210.png,45.2,45.25,-0.11061946902655162,21.87745796982199
000211.png,45.2,45.25,-0.11061946902655162,21.16920903790742
000212.png,45.2,45.25,-0.11061946902655162,22.003958001732826
000213.png,45.2,41.1012077294686,9.068124492326113,21.18104207329452
000214.png,45.2,40.482528180354265,10.436884556738358,21.146291051991284
000215.png,45.2,37.6438808373591,16.717077793453328,22.25729206111282
000216.png,45.2,37.49830917874396,17.039138985079738,41.39479203149676
000217.png,45.2,45.25,-0.11061946902655162,21.762332995422184
000218.png,45.2,29.382689210950083,34.99405041825203,22.245583008043468
000219.png,45.2,33.45869565217391,25.976337052712594,22.044166922569275
000220.png,45.2,45.25,-0.11061946902655162,21.941583952866495
000221.png,45.2,45.25,-0.11061946902655162,20.984333008527756
000222.png,45.2,20.939533011272143,53.67359953258375,20.427417010068893
000223.png,45.2,45.25,-0.11061946902655162,20.493000047281384
000224.png,45.2,26.835185185185185,40.630121271714195,22.742083994671702
000225.png,45.2,27.708615136876013,38.69775412195573,21.11833298113197
000226.png,45.2,26.726006441223834,40.871667165434,22.06720900721848
000227.png,45.2,45.25,-0.11061946902655162,21.188874961808324
000228.png,45.2,45.25,-0.11061946902655162,21.995624992996454
000229.png,45.2,45.25,-0.11061946902655162,21.112125017680228
000230.png,45.2,36.479307568438,19.2935673264646,21.21945796534419
000231.png,45.2,38.44452495974235,14.94574123950807,21.99483395088464
000232.png,45.2,7.384773590982286,83.6620053296852,23.107999935746193
000233.png,45.2,32.714533333333335,27.62271386430678,21.952750044874847
000234.png,45.2,11.369652173913046,74.84590227010388,21.58091706223786
000235.png,45.2,9.902289855072466,78.0922790816981,22.335916990414262
000236.png,45.2,8.090602039720881,82.10043796521929,23.515707929618657
000237.png,45.2,43.46674718196458,3.834630128396954,22.088166908361018
000238.png,45.2,36.812666666666665,18.556047197640126,22.064708988182247
000239.png,45.2,45.25,-0.11061946902655162,22.237750003114343
000240.png,45.2,1.2073917337627484,97.32877935008241,22.99145795404911
000241.png,45.2,1.2203961352657005,97.30000855029712,21.689583081752062
